player_rank,player_name,nationality,position,club,age,birth_year,minutes_played_90s,Matches,yellow_cards,red_cards,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions_misc,tackles_won_misc,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duel_win_pct,goals,shots_total,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_goals,penalty_attempts,expected_goals,non_penalty_expected_goals,non_penalty_xg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,passes_completed_total,passes_attempted_total,pass_completion_pct_total,total_passing_distance,progressive_passing_distance,passes_completed_short,passes_attempted_short,pass_completion_pct_short,passes_completed_medium,passes_attempted_medium,pass_completion_pct_medium,passes_completed_long,passes_attempted_long,pass_completion_pct_long,assists,expected_assists_goals,expected_assists,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches_of_play,throw_ins,corner_kicks,corners_in_swinging,corners_out_swinging,straight_corners,offsides_passes,blocked_passes,shot_creating_actions,shot_creating_actions_per_90,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creating_actions,goal_creating_actions_per_90,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,tackles_total,tackles_defensive_third,tackles_middle_third,tackles_attacking_third,tackles_attempted,tackles_attempted_total,tackle_success_pct,challenges_lost,blocks_defensive,passes_blocked,tackles_plus_interceptions,clearances,errors_leading_to_shot,touches,touches_defensive_penalty_area,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_attacking_penalty_area,live_ball_touches,successful_take_ons,take_on_success_pct,times_tackled_while_dribbling,tackled_while_dribbling_pct,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,times_dispossessed,ball_receipts,progressive_receives
144,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26,1998,21.8,Matches,9,0,0,33,18,1,7,29,45,0,0,0,114,27,23,54,0,21,9,42.9,0.96,0.41,0,0,18.9,0,0,0,1.5,1.5,0.07,-1.5,-1.5,821,947,86.7,11995,3387,463,508,91.1,279,312,89.4,34,55,61.8,1,1.3,1.6,-0.3,13,81,11,1,83,890,50,22,7,0,6,0,0,0,0,7,11,38,1.74,29,1,0,12,3,2,0,0,0,0,0,0,0,0,86,40,35,11,36,9,47.4,40,38,26,115,54,1,1218,78,303,630,295,33,1218,3,33.3,4,44.4,471,1863,924,16,14,2,23,12,676,33
145,Patrick Dorgu,dk DEN,DF,Manchester Utd,19,2004,9.4,Matches,3,1,0,17,28,3,39,4,24,0,0,0,37,15,9,62.5,0,10,2,20,1.07,0.21,0,0,16.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,400,494,81,5631,1295,250,280,89.3,124,159,78,12,28,42.9,0,0.7,1.3,-0.7,12,23,11,2,34,419,74,8,0,1,65,1,0,0,0,1,8,24,2.57,21,0,0,0,2,1,1,0.11,0,0,0,0,1,0,31,15,14,2,16,13,69.6,7,11,11,35,23,2,602,16,155,206,244,32,602,3,23.1,6,46.2,354,1933,1209,41,17,7,12,10,399,83
146,Alfie Dorrington,eng ENG,DF,Tottenham,19,2005,0.2,Matches,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,15,16,93.8,304,39,6,7,85.7,7,7,100,2,2,100,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,16,0,11,5,0,0,16,0,,0,,12,61,26,0,0,0,0,0,13,0
147,Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,28.5,Matches,5,1,1,49,5,10,23,10,28,0,0,0,150,30,44,40.5,3,31,9,29,1.09,0.32,0.1,0.33,14,0,0,0,4.1,4.1,0.13,-1.1,-1.1,725,903,80.3,10909,2254,382,446,85.7,263,316,83.2,44,60,73.3,2,2.4,1.4,-0.4,28,44,15,0,82,884,14,5,0,2,0,0,0,0,0,5,27,58,2.04,52,0,3,6,0,1,3,0.11,2,0,0,0,0,1,48,21,20,7,14,45,32.6,29,31,25,58,20,1,1161,32,225,538,413,65,1161,24,53.3,21,46.7,604,2952,1396,42,26,8,38,38,750,96
148,Cheick Doucouré,ml MLI,MF,Crystal Palace,24,2000,5,Matches,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50,0,7,0,0,1.39,0,0,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,174,204,85.3,2909,823,84,94,89.4,70,78,89.7,16,20,80,0,0,0.1,0,1,17,3,0,19,201,3,3,0,0,0,0,0,0,0,0,4,9,1.79,5,0,0,0,1,1,3,0.6,1,0,0,1,1,0,16,6,8,2,5,5,45.5,6,4,4,27,10,1,263,11,56,165,45,4,263,2,40,2,40,133,581,280,2,7,1,4,7,160,7
149,Flynn Downes,eng ENG,MF,Southampton,25,1999,23.9,Matches,12,0,0,50,39,0,4,32,25,0,0,0,83,17,17,50,1,10,3,30,0.42,0.13,0.1,0.33,18.7,0,0,0,0.6,0.6,0.06,0.4,0.4,1003,1109,90.4,14646,2893,577,620,93.1,352,382,92.1,37,53,69.8,0,1.1,1.4,-1.1,15,62,12,0,66,1079,29,29,7,1,0,0,0,0,0,1,13,31,1.3,27,2,0,9,0,1,2,0.08,1,1,0,0,0,0,49,23,21,5,15,20,41.7,21,28,19,81,51,4,1339,99,403,719,227,21,1339,8,40,8,40,641,3520,1826,29,21,4,15,17,945,29
150,Tommy Doyle,eng ENG,MF,Wolves,22,2001,5.4,Matches,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3,0,9,2,22.2,1.66,0.37,0,0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,321,392,81.9,6591,2010,112,119,94.1,138,155,89,61,93,65.6,1,0.5,0.3,0.5,7,44,3,0,40,353,35,19,0,6,3,12,6,4,0,4,8,17,3.13,11,4,1,5,0,0,3,0.55,2,0,1,0,0,0,11,6,3,2,6,9,40,9,11,6,16,11,1,463,22,128,258,80,4,463,5,55.6,1,11.1,260,1417,578,6,3,0,9,4,303,4
151,Radu Drăgușin,ro ROU,DF,Tottenham,22,2002,13.9,Matches,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60,0,5,1,20,0.36,0.07,0,0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,716,840,85.2,13638,5250,223,245,91,437,470,93,47,107,43.9,0,0.4,0.2,-0.4,4,52,2,1,37,793,47,40,1,3,3,0,0,0,0,0,5,8,0.58,8,0,0,16,0,0,1,0.07,1,0,0,0,0,0,10,8,2,0,6,2,50,6,22,6,25,49,4,961,148,510,430,30,12,961,0,0,0,0,623,3349,1666,7,3,0,8,2,669,2
152,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10,Matches,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,265,333,79.6,5932,3082,58,58,100,161,161,100,45,112,40.2,0,0,0,0,0,0,0,0,0,246,86,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,350,262,337,14,0,0,350,0,,0,,202,1043,643,0,0,0,0,0,175,0
153,Lewis Dunk,eng ENG,DF,Brighton,32,1991,23.1,Matches,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2,0,12,3,25,0.52,0.13,0,0,12.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8,1778,1953,91,32940,10612,668,693,96.4,954,1002,95.2,143,228,62.7,0,0.5,1,-0.5,6,157,6,0,142,1818,131,67,2,10,10,0,0,0,0,4,7,19,0.82,17,0,0,18,0,0,3,0.13,2,0,0,1,0,0,17,8,7,2,11,1,57.9,8,28,10,30,79,2,2127,258,993,1031,113,21,2127,0,0,1,100,1341,6155,3345,20,19,0,9,3,1556,3
