Rk,Player,Nation,Pos,Squad,Age,Born,90s,Matches,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK_dup,TB,Sw,TI,CK,In,Out,Str,Off_dup,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_dup,Fld_dup,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_dup,Tkl%,Lost_dup,Blocks_dup,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_dup,Mid 3rd_dup,Att 3rd_dup,Att Pen,Live_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_dup,PrgDist_dup,PrgC,1/3_dup,CPA,Mis,Dis,Rec,PrgR
68,Alessandro Bianco,it ITA,MF,Fiorentina,19,2002,1.7,Matches,1,0,0,7,4,0,1,0,2,0,0,0,8,2,2,50.0,0,2,1,50.0,1.18,0.59,0.00,0.00,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,67,78,85.9,1237,231,29,34,85.3,28,34,82.4,9,9,100.0,0,0.0,0.0,0.0,1,11,1,0,9,76,2,2,0,3,0,0,0,0,0,0,0,4,2.35,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,5,2,3,0,2,2,66.7,1,1,1,5,0,0,91,2,18,59,14,1,91,0,0.0,0,0.0,49,240,144,4,1,0,2,5,68,2
69,Jaka Bijol,si SVN,DF,Udinese,23,1999,30.3,Matches,10,0,0,29,7,0,1,29,23,0,1,0,144,87,47,64.9,3,20,7,35.0,0.66,0.23,0.15,0.43,9.5,0,0,0,2.2,2.2,0.11,+0.8,+0.8,1170,1381,84.7,24657,10028,322,367,87.7,681,730,93.3,155,253,61.3,2,1.6,1.7,+0.4,9,54,5,1,66,1341,35,28,4,13,1,0,0,0,0,5,5,21,0.69,17,0,0,25,0,0,3,0.10,3,0,0,0,0,0,39,32,7,0,16,5,59.3,11,41,16,68,165,0,1729,296,1068,612,53,40,1729,2,40.0,3,60.0,972,4682,2422,3,6,2,10,4,1032,7
70,Cristiano Biraghi,it ITA,DF,Fiorentina,29,1992,28.3,Matches,1,0,0,29,38,1,300,14,38,0,0,1,137,19,25,43.2,2,24,5,20.8,0.85,0.18,0.08,0.40,27.4,15,0,1,1.8,1.1,0.04,+0.2,+0.9,1433,1994,71.9,27338,10270,603,677,89.1,614,783,78.4,196,456,43.0,4,5.5,5.8,-1.5,82,114,35,23,161,1440,548,94,0,27,292,162,71,63,0,6,37,132,4.66,59,68,1,7,0,1,6,0.21,3,3,0,0,0,0,65,29,29,7,32,20,49.2,33,32,25,79,42,1,2213,72,534,904,793,26,2212,7,35.0,9,45.0,1011,4803,2798,69,51,10,16,6,1214,113
71,Samuele Birindelli,it ITA,DF,Monza,23,1999,15.6,Matches,8,0,0,15,14,2,70,16,19,0,0,0,69,6,9,40.0,0,14,4,28.6,0.90,0.26,0.00,0.00,17.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,572,777,73.6,9832,2913,265,309,85.8,249,326,76.4,47,107,43.9,1,2.2,1.9,-1.2,18,27,19,13,43,659,118,4,0,5,114,0,0,0,0,0,15,35,2.25,30,0,2,8,1,0,4,0.26,4,0,0,0,0,0,35,21,10,4,18,20,62.1,11,28,20,51,30,0,957,51,277,372,321,30,957,11,55.0,8,40.0,509,3234,1645,55,35,7,24,15,606,121
72,Kristijan Bistrović,hr CRO,MF,Lecce,24,1998,5.1,Matches,0,0,0,2,4,1,21,0,1,0,0,0,15,2,5,28.6,0,8,1,12.5,1.56,0.20,0.00,0.00,24.4,4,0,0,0.3,0.3,0.04,-0.3,-0.3,101,140,72.1,1867,682,45,52,86.5,35,48,72.9,16,25,64.0,0,0.4,0.5,-0.4,6,10,2,1,16,119,21,11,0,3,0,7,3,3,0,0,6,10,1.95,3,7,0,0,0,0,0,0.00,0,0,0,0,0,0,3,3,0,0,0,1,0.0,5,3,3,3,4,0,168,5,29,84,55,3,168,1,100.0,0,0.0,83,378,119,4,1,0,3,5,99,8
73,Alexis Blin,fr FRA,MF,Lecce,25,1996,26.4,Matches,8,0,0,47,31,1,28,34,39,1,0,0,133,55,69,44.4,1,22,4,18.2,0.83,0.15,0.05,0.25,12.9,0,0,0,2.8,2.8,0.13,-1.8,-1.8,766,963,79.5,12309,3766,379,446,85.0,290,353,82.2,59,96,61.5,0,1.1,0.8,-1.1,15,88,13,3,101,903,59,15,1,11,20,2,1,0,0,1,16,42,1.59,34,2,0,15,2,0,1,0.04,1,0,0,0,0,0,69,27,33,9,38,12,52.1,35,55,40,103,74,0,1300,86,352,698,257,33,1300,6,50.0,6,50.0,538,2311,1096,14,17,1,34,15,666,32
74,Jeremie Boga,ci CIV,"MF,FW",Atalanta,25,1997,8.7,Matches,0,0,0,4,17,1,55,1,5,0,0,0,34,5,4,55.6,2,13,3,23.1,1.50,0.35,0.15,0.67,20.2,2,0,0,1.9,1.9,0.14,+0.1,+0.1,381,475,80.2,5908,1552,218,251,86.9,104,125,83.2,38,62,61.3,5,2.8,3.3,+2.2,34,23,24,8,53,431,43,8,3,3,6,29,14,10,0,1,8,57,6.59,33,13,7,0,2,1,8,0.92,7,0,0,0,0,1,9,3,2,4,2,95,40.0,3,6,6,10,1,0,600,1,43,228,344,37,600,48,50.5,33,34.7,418,3673,1904,64,47,20,31,11,489,78
75,Emil Bohinen,no NOR,MF,Salernitana,23,1999,9.2,Matches,0,0,0,15,13,1,3,17,13,0,1,0,78,12,15,44.4,0,4,0,0.0,0.43,0.00,0.00,,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,404,479,84.3,5591,1452,238,262,90.8,127,146,87.0,16,28,57.1,0,0.7,0.3,-0.7,12,25,5,1,31,459,19,17,0,3,0,2,0,2,0,1,12,17,1.85,15,1,0,7,0,0,0,0.00,0,0,0,0,0,0,25,15,8,2,12,18,52.2,11,25,18,42,21,0,610,36,172,335,110,6,610,8,44.4,7,38.9,319,1701,868,12,12,0,10,9,355,16
76,Giacomo Bonaventura,it ITA,MF,Fiorentina,32,1989,21.2,Matches,4,1,0,24,40,2,48,16,23,1,0,0,140,14,22,38.9,5,49,14,28.6,2.31,0.66,0.10,0.36,19.6,2,0,0,4.3,4.3,0.09,+0.7,+0.7,754,916,82.3,11960,2716,391,437,89.5,265,308,86.0,60,97,61.9,1,3.1,2.5,-2.1,34,57,30,4,102,864,51,27,4,6,5,8,0,5,0,1,24,78,3.68,51,6,5,0,8,1,8,0.38,6,0,1,0,1,0,35,14,15,6,24,54,64.9,13,14,14,51,5,1,1134,14,132,573,456,69,1134,23,42.6,19,35.2,707,4208,2260,64,60,10,23,29,804,91
77,Federico Bonazzoli,it ITA,"FW,MF",Salernitana,25,1997,12.4,Matches,1,0,0,18,32,7,4,3,3,0,0,0,37,6,15,28.6,2,32,7,21.9,2.57,0.56,0.06,0.29,18.9,1,0,0,2.4,2.4,0.07,-0.4,-0.4,264,354,74.6,4654,966,135,162,83.3,84,104,80.8,37,53,69.8,1,1.1,0.7,-0.1,8,30,6,0,43,325,28,3,3,13,0,0,0,0,0,1,14,26,2.09,20,0,1,1,2,0,3,0.24,3,0,0,0,0,0,5,0,3,2,0,23,0.0,9,9,8,8,0,0,487,0,33,269,191,31,487,12,52.2,9,39.1,304,1138,435,11,10,3,42,12,378,67
78,Warren Bondo,fr FRA,MF,Monza,18,2003,0.7,Matches,1,0,0,2,3,0,0,0,0,0,0,0,4,1,0,100.0,0,1,0,0.0,1.50,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,45,51,88.2,720,106,24,26,92.3,20,22,90.9,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,5,48,3,2,0,0,1,0,0,0,0,0,1,3,4.50,1,0,0,0,2,0,0,0.00,0,0,0,0,0,0,1,1,0,0,0,4,,0,1,1,1,0,0,60,0,8,40,13,0,60,3,75.0,1,25.0,45,315,147,3,3,0,1,1,51,2
79,Kevin Bonifazi,it ITA,DF,Bologna,26,1996,10.0,Matches,2,0,0,6,1,1,2,12,8,0,0,0,61,8,17,32.0,0,2,0,0.0,0.20,0.00,0.00,,11.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,643,722,89.1,12821,4841,216,229,94.3,343,369,93.0,81,116,69.8,0,0.0,0.1,0.0,2,36,0,0,33,702,19,17,2,5,1,0,0,0,0,1,1,9,0.90,9,0,0,8,0,0,0,0.00,0,0,0,0,0,0,13,7,6,0,6,7,50.0,6,11,3,25,39,0,828,127,448,364,22,4,828,5,71.4,2,28.6,549,3188,1823,4,3,0,9,5,613,0
80,Leonardo Bonucci,it ITA,DF,Juventus,35,1987,9.8,Matches,2,0,0,11,5,1,0,13,4,0,0,0,48,20,23,46.5,1,4,1,25.0,0.41,0.10,0.25,1.00,12.0,0,0,1,1.1,0.3,0.07,-0.1,+0.7,508,580,87.6,10749,4060,139,149,93.3,295,316,93.4,71,106,67.0,0,0.2,0.3,-0.2,4,35,4,0,28,539,40,13,1,6,1,0,0,0,0,1,2,9,0.92,7,0,0,8,0,1,1,0.10,0,0,0,1,0,0,5,1,4,0,2,1,50.0,2,12,4,18,29,0,658,102,326,326,10,7,657,1,100.0,0,0.0,406,1632,854,2,2,0,3,1,460,1
81,Erik Botheim,no NOR,"MF,FW",Salernitana,22,2000,9.6,Matches,2,0,0,12,11,3,5,0,7,0,0,0,32,20,28,41.7,1,7,1,14.3,0.73,0.10,0.14,1.00,13.5,0,0,0,0.6,0.6,0.08,+0.4,+0.4,165,231,71.4,2038,460,99,126,78.6,42,59,71.2,5,7,71.4,3,1.8,0.7,+1.2,9,10,4,0,21,226,4,0,1,0,1,0,0,0,0,1,9,17,1.77,12,0,0,0,1,2,4,0.42,4,0,0,0,0,0,11,3,4,4,6,7,46.2,7,3,3,11,4,0,300,7,38,146,118,23,300,2,28.6,4,57.1,166,647,259,11,5,3,19,12,230,61
82,Mehdi Bourabia,ma MAR,MF,Spezia,30,1991,30.8,Matches,3,0,0,33,18,1,64,32,20,0,0,0,192,21,32,39.6,1,33,5,15.2,1.07,0.16,0.03,0.20,24.3,1,0,0,2.1,2.1,0.06,-1.1,-1.1,981,1282,76.5,15009,4832,509,595,85.5,365,446,81.8,64,133,48.1,3,4.4,3.4,-1.4,37,94,32,10,113,1208,66,29,5,4,7,30,21,4,0,8,38,81,2.63,59,7,7,12,1,3,7,0.23,6,0,0,1,0,0,41,13,22,6,19,65,46.3,22,39,27,73,57,0,1639,98,422,832,409,21,1639,29,44.6,32,49.2,811,3759,1794,38,30,5,54,27,956,58
83,Edoardo Bove,it ITA,MF,Roma,20,2002,11.0,Matches,2,0,0,24,23,1,9,10,18,0,0,0,80,14,12,53.8,1,7,2,28.6,0.64,0.18,0.14,0.50,12.9,0,0,0,0.8,0.5,0.07,+0.2,+0.5,309,406,76.1,4427,1026,168,201,83.6,110,139,79.1,13,30,43.3,0,0.9,0.7,-0.9,7,20,6,0,33,373,33,8,2,2,16,4,1,1,0,0,12,17,1.54,15,0,0,1,1,1,0,0.00,0,0,0,0,0,0,35,12,15,8,16,13,41.0,23,15,14,45,11,0,532,12,107,301,131,20,532,5,38.5,4,30.8,263,1015,404,9,9,2,25,17,289,26
