Rk,Player,Nation,Pos,Squad,Age,Born,90s,Matches,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK_dup,TB,Sw,TI,CK,In,Out,Str,Off_dup,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_dup,Fld_dup,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_dup,Tkl%,Lost_dup,Blocks_dup,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_dup,Mid 3rd_dup,Att 3rd_dup,Att Pen,Live_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_dup,PrgDist_dup,PrgC,1/3_dup,CPA,Mis,Dis,Rec,PrgR
528,Unai Simón,es ESP,GK,Athletic Club,25,1997,30.5,Matches,2,0,0,0,1,0,0,0,0,0,0,0,36,0,0,,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,690,951,72.6,19697,14574,94,95,98.9,383,393,97.5,212,459,46.2,0,0.0,0.0,0.0,0,18,0,0,2,703,245,59,0,1,0,0,0,0,0,3,0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,0,0,1,0,100.0,0,1,1,2,9,3,1007,810,1001,7,0,0,1007,0,,0,,598,3166,1823,0,0,0,1,0,480,0
529,Rubén Sobrino,es ESP,"MF,FW",Cádiz,30,1992,27.4,Matches,11,0,0,50,53,8,12,24,37,0,0,0,164,60,64,48.4,3,33,12,36.4,1.20,0.44,0.09,0.25,13.6,0,0,0,4.9,4.9,0.15,-1.9,-1.9,444,618,71.8,5754,1679,269,344,78.2,132,164,80.5,13,33,39.4,2,2.3,1.8,-0.3,24,28,8,3,46,603,10,1,1,3,7,0,0,0,0,5,21,53,1.94,39,0,1,3,6,3,5,0.18,5,0,0,0,0,0,55,29,17,9,23,75,41.1,33,33,30,79,20,1,952,37,209,401,359,75,952,29,38.7,36,48.0,542,3550,1609,45,41,12,56,42,579,81
530,Alex Sola,es ESP,DF,Real Sociedad,23,1999,3.9,Matches,1,0,0,3,8,0,12,7,9,0,0,0,17,7,3,70.0,0,4,1,25.0,1.03,0.26,0.00,0.00,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,158,198,79.8,2779,704,60,68,88.2,78,91,85.7,15,28,53.6,0,0.1,0.1,-0.1,2,6,1,1,4,150,48,4,0,0,44,0,0,0,0,0,5,6,1.54,3,2,0,2,1,0,2,0.51,1,0,0,0,1,0,18,14,3,1,7,16,70.0,3,7,5,25,10,0,252,12,73,99,84,6,252,7,43.8,5,31.3,116,739,298,8,3,1,2,6,131,19
531,Augusto Solari,ar ARG,MF,Celta Vigo,30,1992,2.9,Matches,0,0,0,9,4,0,3,4,6,0,0,0,18,4,3,57.1,0,2,0,0.0,0.69,0.00,0.00,,14.4,0,0,0,0.3,0.3,0.14,-0.3,-0.3,94,125,75.2,1364,362,53,60,88.3,33,40,82.5,5,13,38.5,1,0.2,0.3,+0.8,4,9,2,0,12,122,1,0,0,0,1,0,0,0,0,2,4,6,2.05,6,0,0,0,0,0,2,0.68,2,0,0,0,0,0,10,6,3,1,3,5,27.3,8,5,5,14,3,0,160,1,28,88,45,6,160,1,20.0,3,60.0,88,337,155,5,2,1,2,4,105,14
532,Carlos Soler,es ESP,MF,Valencia,25,1997,2.7,Matches,0,0,0,2,4,0,16,0,0,0,0,0,4,1,1,50.0,1,4,1,25.0,1.49,0.37,0.00,0.00,30.0,3,1,1,0.9,0.2,0.04,+0.1,-0.2,92,123,74.8,1388,378,52,59,88.1,23,28,82.1,9,24,37.5,0,0.2,0.2,-0.2,4,5,4,0,13,102,21,9,0,1,0,11,5,5,0,0,3,6,2.23,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,1,1,2,2,66.7,1,1,1,2,2,0,143,2,13,62,68,4,142,1,50.0,0,0.0,83,508,223,3,4,0,2,1,98,7
533,David Soria,es ESP,GK,Getafe,29,1993,38.0,Matches,2,0,0,1,3,0,0,1,0,0,0,0,39,4,0,100.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,610,1136,53.7,28998,25913,28,30,93.3,119,126,94.4,463,972,47.6,0,0.2,0.2,-0.2,4,57,3,0,1,620,509,162,0,19,0,0,0,0,0,7,1,7,0.18,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,20,4,1224,1011,1216,11,0,0,1224,0,,0,,541,3493,2322,0,0,0,0,0,291,0
534,Hugo Sotelo,es ESP,MF,Celta Vigo,18,2003,0.2,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0,0.0,5.29,0.00,0.00,,20.8,0,0,0,0.0,0.0,0.04,0.0,0.0,20,23,87.0,265,86,11,12,91.7,9,9,100.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,24,0,5,16,3,0,24,0,,0,,20,52,19,0,0,0,0,0,24,0
535,Dyego Sousa,pt POR,FW,Almería,32,1989,5.9,Matches,1,0,0,10,12,4,1,1,6,0,0,0,17,27,25,51.9,0,13,4,30.8,2.22,0.68,0.00,0.00,14.2,0,0,0,1.2,1.2,0.09,-1.2,-1.2,107,160,66.9,1396,361,60,83,72.3,38,52,73.1,2,6,33.3,1,1.0,0.9,0.0,10,4,5,0,16,150,9,0,1,0,1,0,0,0,0,1,7,14,2.39,11,0,2,2,0,0,1,0.17,1,0,0,0,0,0,10,5,4,1,4,13,80.0,1,4,2,11,14,0,256,16,34,110,114,35,256,5,38.5,7,53.8,131,611,214,10,8,4,28,11,190,39
536,Vinicius Souza,br BRA,MF,Espanyol,23,1999,27.0,Matches,10,1,1,65,38,0,4,48,66,0,2,0,151,72,63,53.3,1,10,4,40.0,0.37,0.15,0.10,0.25,21.9,0,0,0,0.8,0.8,0.08,+0.2,+0.2,726,909,79.9,12361,3394,343,396,86.6,295,353,83.6,66,106,62.3,1,0.6,0.7,+0.4,11,85,4,1,82,885,24,23,0,9,0,0,0,0,0,0,16,33,1.22,25,0,2,14,2,2,3,0.11,3,0,0,0,0,0,99,41,45,13,33,19,55.9,26,31,17,147,50,1,1242,79,337,746,164,20,1242,10,52.6,7,36.8,543,2552,972,13,11,2,30,13,614,14
537,Jørgen Strand Larsen,no NOR,FW,Celta Vigo,22,2000,18.9,Matches,4,0,0,34,43,13,4,3,7,1,0,0,42,42,47,47.2,4,41,15,36.6,2.16,0.79,0.10,0.27,12.6,0,0,0,5.6,5.6,0.14,-1.6,-1.6,232,339,68.4,3020,423,139,192,72.4,53,80,66.3,12,19,63.2,4,2.0,1.1,+2.0,12,14,3,1,14,310,27,3,0,4,0,0,0,0,0,2,3,29,1.53,21,0,1,5,4,1,7,0.37,6,0,1,0,0,0,15,3,5,7,7,31,23.3,23,14,9,18,24,0,576,29,56,277,248,84,576,14,45.2,15,48.4,348,1327,460,17,6,9,74,24,438,73
